levelId,code,levelType,playMode,passed,simulatorError,attempt,seed,state,shotLimit,shotsFired,clearRemainingShots,timeLimitSeconds,remainingTimeSeconds,score,boardCells,sourceName,errorMessage
462,L462_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,214134908,won_settlement_pending,41,16,25,,,40684,0,levels_pack_401_500.json#level_462,
463,L463_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,true,false,1,2727082509,won_settlement_pending,40,37,3,,,19294,0,levels_pack_401_500.json#level_463,
464,L464_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,1079147970,won_settlement_pending,41,34,7,,,10780,2,levels_pack_401_500.json#level_464,
465,L465_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,3860522899,won_settlement_pending,41,19,22,,,22695,0,levels_pack_401_500.json#level_465,
466,L466_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,2217044256,won_settlement_pending,41,33,8,,,11753,0,levels_pack_401_500.json#level_466,
467,L467_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,468455665,out_of_shots_add_ball_prompt,42,42,0,,,5423,41,levels_pack_401_500.json#level_467,
468,L468_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,3115620998,won_settlement_pending,43,38,5,,,10499,4,levels_pack_401_500.json#level_468,
469,L469_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,1602165847,won_settlement_pending,43,15,28,,,26800,4,levels_pack_401_500.json#level_469,
470,L470_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,false,false,1,4245129188,lost_objective,,41,,90,0,13252,31,levels_pack_401_500.json#level_470,
471,L471_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,2630748597,won_settlement_pending,40,17,23,,,18194,0,levels_pack_401_500.json#level_471,
472,L472_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,848737098,won_settlement_pending,41,28,13,,,16261,0,levels_pack_401_500.json#level_472,
473,L473_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,3500225819,out_of_shots_add_ball_prompt,40,40,0,,,11775,20,levels_pack_401_500.json#level_473,
474,L474_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,1986641064,won_settlement_pending,41,15,26,,,21474,2,levels_pack_401_500.json#level_474,
475,L475_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,338699897,lost_objective,41,15,26,,,8462,0,levels_pack_401_500.json#level_475,
476,L476_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2885199886,lost_objective,41,19,22,,,7944,0,levels_pack_401_500.json#level_476,
477,L477_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1233343455,lost_objective,42,24,18,,,5790,4,levels_pack_401_500.json#level_477,
478,L478_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,4014724460,out_of_shots_add_ball_prompt,43,43,0,,,3595,48,levels_pack_401_500.json#level_478,
479,L479_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2366791485,lost_objective,43,19,24,,,5845,4,levels_pack_401_500.json#level_479,
480,L480_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,false,false,1,752535282,lost_objective,,31,,90,28.2,6861,4,levels_pack_401_500.json#level_480,
481,L481_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,3269806211,won_settlement_pending,40,13,27,,,13052,0,levels_pack_401_500.json#level_481,
482,L482_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1622012496,lost_objective,41,15,26,,,6667,0,levels_pack_401_500.json#level_482,
483,L483_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,108295649,lost_objective,40,19,21,,,4426,0,levels_pack_401_500.json#level_483,
484,L484_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2755461046,lost_objective,41,27,14,,,7790,2,levels_pack_401_500.json#level_484,
485,L485_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1002922311,lost_objective,41,19,22,,,6954,0,levels_pack_401_500.json#level_485,
486,L486_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,false,true,1,3650087700,simulator_error,40,10,30,,,945,79,levels_pack_401_500.json#level_486,Trapped sprite rescue bubble impact requires an attachment cell.
487,L487_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2136380069,out_of_shots_add_ball_prompt,42,42,0,,,6516,21,levels_pack_401_500.json#level_487,
488,L488_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,492901498,lost_objective,43,32,11,,,6753,4,levels_pack_401_500.json#level_488,
489,L489_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,3005849099,out_of_shots_add_ball_prompt,43,43,0,,,2718,60,levels_pack_401_500.json#level_489,
490,L490_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,false,false,1,1391460824,lost_objective,,21,,90,45.45,7968,4,levels_pack_401_500.json#level_490,
491,L491_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,4038626153,lost_objective,40,24,16,,,4634,0,levels_pack_401_500.json#level_491,
492,L492_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,2520976702,won_settlement_pending,41,15,26,,,12020,0,levels_pack_401_500.json#level_492,
493,L493_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,873182415,lost_objective,40,23,17,,,7776,0,levels_pack_401_500.json#level_493,
494,L494_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,3419553436,won_settlement_pending,41,15,26,,,15895,2,levels_pack_401_500.json#level_494,
495,L495_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1771741229,lost_objective,41,21,20,,,3225,0,levels_pack_401_500.json#level_495,
496,L496_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,262482914,won_settlement_pending,41,18,23,,,11252,0,levels_pack_401_500.json#level_496,
497,L497_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2909646259,lost_objective,42,31,11,,,9092,4,levels_pack_401_500.json#level_497,
498,L498_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1127503680,out_of_shots_add_ball_prompt,43,43,0,,,7153,26,levels_pack_401_500.json#level_498,
499,L499_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,false,true,1,3808221457,simulator_error,42,7,35,,,586,90,levels_pack_401_500.json#level_499,Trapped sprite rescue bubble impact requires an attachment cell.
500,L500_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,false,false,1,2156347558,lost_objective,,30,,90,27.2,9065,4,levels_pack_401_500.json#level_500,
501,L501_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,642763383,won_settlement_pending,41,29,12,,,19153,0,levels_pack_501_600.json#level_501,
502,L502_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3289795588,lost_objective,42,39,3,,,7223,0,levels_pack_501_600.json#level_502,
503,L503_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1541339093,lost_objective,42,14,28,,,7418,0,levels_pack_501_600.json#level_503,
504,L504_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,4192827754,won_settlement_pending,42,42,0,,,10426,2,levels_pack_501_600.json#level_504,
